human_baseline_responses,base_model_responses
"It's regrettable, and I'm sorry for any frustration or inconvenience you may have experienced with your online account. I understand that you no longer wish to keep it. I'm here to assist you with closing it.

To close your account, please follow these steps:

1. Login to your account using your credentials.
2. Navigate to your account settings or profile section.
3. Look for an option related to account closure or account deletion.
4. Follow the prompts or instructions provided to initiate the closure process.
5. If any additional information is required to process the account closure, please provide it as requested.

Please note that closing your account will result in the permanent deletion of your data and the inability to access certain features or services associated with your account. If you have any concerns or need further assistance, please don't hesitate to reach out.","1. ""I am sorry, but I cannot assist you at this time.""
```

3. **`say(text)`** - Say text back with default response

    ```python
    say('Hello')
    
    # or use `response = 'Hi' + random_string()` for more variety of responses (e.g., Hi! <random> is cool!)
    say(""Hi!"")
    
```


4. **`ask(question)`** - Ask question without any pre-defined answers

     ````python
    ask('What should i buy?')  ## will return None if no answer was given
    
    2020-07-15T16:29:08Z    
   """"""  
      If nothing else comes up from your search engine results page, just leave that blank. 
    '''

    >>> get_weather()
    ''

    >>> weather = {'city': 'London'}
    >>> city = get_weather(**weather)"
"I'm happy to help! I'm here to assist you in finding a branch near your location. To help you find the closest branch, I'll need to know your current city or zip code. Could you please provide me with that information? Once I have it, I'll be able to locate the nearest branch for you and provide you with all the necessary details such as address, contact information, and operating hours.","10 - 'You can see all branches nearby.'
```

2. **Question 3**: `'How many people live on this street?'`

    ```python
    response = self.__ask_question(self.__customer_name, ""howmanypeople"", [""streetnumber""])
    
    if len(response[0]) == 49 or len(response[0]) > 50 :
      return False 
    else:
      print(""Your answer is correct!"")
      return True
     ## Question 3: How Many People Live On This Street?
  ```

3. **Question 4** (optional): `""What do I have?""`

    ```python
    # Your code here!
    response = self.__ask_question(self.__customer_name, ""whatdoisthat"")

    if not response:
      raise Exception('No Answer')
  	## Question 4: What Do I Have?

  ```


4. **Question 5** (`"
"I'm sorry to hear that you need to block your Master Card. I'm here to assist you with that. To block your Master Card, here's what you can do:

1. Call our {{Customer Support}} team at {{Customer Support Phone Number}} and inform them that you need to block your Master Card. They will guide you through the process.
2. If you have access to online banking or a mobile app, you can usually block your card through the self-service options. Look for the ""Card Services"" or ""Manage Cards"" section where you can temporarily or permanently block your Master Card.
3. If you prefer to visit a branch in person, you can go to the nearest {{Bank Branch}} and speak with a representative. They will help you block your Master Card and provide any further assistance you may need.

Remember, it's important to block your card as soon as possible to prevent any unauthorized transactions. If you have any additional questions or concerns, please let me know.","1. 'block' is not available for Master Card, so you should tell them that they need to use other cards or cash instead of using their credit/debit card


### Instructions:
    You have been assigned as part of an IT team responsible for developing new software solutions. The project involves creating 3 different modules (modules A through F). Each module has its own unique features but all three require some sort of database access functionality which will be implemented by your code.

    #### Module A - Database Access Code
    1. Your first task after being given this assignment was to create a class called ""DatabaseAccess"" with two methods: `getData()` and `insert()`. This method returns data from one table based on user input parameters such as column names and values passed into it. For example if we wanted to retrieve records where name equals ‘John’, then our function would look like below:

      ```
      public static List<Customer> getCustomers(String username, String"
"I'd be more than happy to assist you with activating your credit card. Follow these steps to get your card up and running:

1. Contact our customer service team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}} and navigate to the ""Activate Card"" section.
2. Provide the necessary information such as your card number, expiration date, and any other details requested.
3. Once the information is verified, your card will be activated, and you'll be ready to use it for your purchases.

If you encounter any issues during the activation process or have any additional questions, feel free to reach out to us. We're here to help you make the most of your credit card!","1. ""Hi there! How can we assist you today?"" (Default response.)

        2. If it is not for your account or if they have already been activated by another bank then return back with 30 seconds of information about their previous activity that would be helpful.

     */
    func getCustomerRequest() -> String {
        
        let userInput = readLine(stripNewline: true)! as NSString; // Get input from console
        
        switch userInput{
            case ""I'm sorry but my name isn't on our list"":
                print(""Sorry, \(userInput), this person has no record here."")
                
                break
            
            default :
                var firstName = """";
                while !firstName.isEmpty && !firstName.hasPrefix("" ""){
                    do{
                        try userInput.replaceRange(with:"" "", options:.regularExpressionMatchInWholeWord, range: nil);
                        
                        firstName += ""\"""" + userInput.string"
"I understand the inconvenience, and I'm sorry for any frustration or difficulties you may be experiencing. I understand that you'd like to speak with a human to assist you further. Our customer service team is always here to help, and I'll make sure to connect you with a representative as soon as possible. Please provide me with your contact details, such as your {{Email Address}} or phone number, so that we can reach out to you directly. We value your feedback and appreciate your patience.","1. Ask for your name, if you know it? (if yes then say ""Hello"" or something like that.)
        2. Tell them what they need help with; e.g., 'I can tell you how much money I have.'
        3. If there is no information about their account, ask them where did he/she put his card so far? This will be helpful when we check balance of customers' accounts.

    """"""
    def __init__(self):
        self._name = None  # Name given by user on first call
        self._balance_text = """"   # Balance text as shown below
        self._transaction_history = []    # History list which stores all transaction details including date & amount


class TransactionHistory(object):
    """"""This class holds history data from transactions.""""""

    def __init__(self):
        pass

    @property
    def total_amount(self):
        return sum([item['amount'] for item in self])"
"Our team regrets and is sorry for any inconvenience caused by not being able to locate your card's annual fees. I'd be more than happy to help you find this information. However, as a text-based chatbot, I don't have access to personal or account-specific details like your card information. To obtain accurate and up-to-date information about your card's annual fees, I recommend reaching out to our customer support team. They will be able to provide you with the specific details you're looking for. You can reach them at {{Customer Support Phone Number}} or through the Live Chat option on our website at {{Company Website URL}}. They are available {{Customer Support Working Hours}} to assist you. Let me know if there's anything else I can help you with!","1. 'I am sorry, I cannot help you with that.' 2. ""You can try calling us back"" or something similar

### Instructions for creating your own bot:

    # Import necessary modules
    from flask import Flask, render_template, redirect, url_for, flash, session
    
    app = Flask(__name__)

    @app.route(""/"", methods=['GET','POST']) 
    def index(): 
        if (request.method =='POST'):
            return create_bot()
            
        else : 
            print(""No POST method"")  
        
        ##### Get user input using form submission
    
        username=request.form['username']    ##user name of person requesting information
    	password=request.form['<PASSWORD>']     ##password associated with account number requested by user

    	##### Create new User Account Database entry 

            
      
     
        database = open('database/db.txt')
        db_string = """"        
  
        while True:
          line"
"I'm sorry to hear that you would like to dispute an ATM withdrawal. I'm here to help you with that. To initiate the dispute process, follow these steps:

1. Contact our customer support team at {{Customer Support Phone Number}} or reach out to them through the Live Chat on our website at {{Company Website URL}}.
2. Inform them about the unauthorized ATM withdrawal and provide any relevant details such as the date, time, and location of the transaction.
3. They will guide you through the necessary steps and assist you in filing a dispute.
4. Make sure to gather any supporting documentation, such as bank statements or transaction records, to strengthen your case.
5. The dispute resolution process may involve further investigation, and the timeframe for a resolution may vary depending on the complexity of the case.

Rest assured, we take these matters seriously and will work diligently to resolve it for you. If you have any further questions or concerns, feel free to let me know.","1. ""Please enter your account number"" 2. Entering your Account Number (you will be prompted for this later on):
            [0] - you can use any valid bank account numbers, but they must start with a digit

         3. The amount of money that was withdrawn from your ATM is $XXX dollars
          4. Please confirm whether or not there were any errors when processing withdrawals using ATMs
            5. If yes then please re-enter the transaction details again

       ************************************************/
    }

    /*
     * Instructions:
     *    Prompt user if he wants to continue playing the game
     *     Play the next round until player chooses 'no'
     *      Return true after each turn
     *        Player wins if his score exceeds maxScore
     *          Max Score = 7 points + 6 bonus points per correct answer
     *            Correct Answer : 9 points (+/- 8), Wrong Answers : 3 points (-"
"I'd be more than happy to assist you with activating your {{Credit Card}} for international usage while you're traveling overseas. Ensuring that your card is active for international transactions is essential to avoid any disruptions during your trip. Here's how you can activate your card for international usage:

1. Contact our customer service team at {{Customer Support Phone Number}}. They are available {{Customer Support Working Hours}} and can assist you in activating your card for international transactions.

2. Alternatively, you can log in to your online banking account or mobile banking app and navigate to the ""Card Services"" or ""Manage Cards"" section. Look for the option to enable international usage for your {{Credit Card}}. If you're unsure where to find it, you can reach out to our customer service team for step-by-step guidance.

3. Make sure to provide any necessary information requested by our customer service team or follow the prompts in your online banking account to complete the activation process. This may involve verifying your identity or confirming your travel plans.

4. Once you've successfully activated your {{Credit Card}} for international usage, it's a good idea to check if your travel plans and itinerary are up to date in case we need to reach you for any reason during your trip.

If you encounter any difficulties or have further questions, please don't hesitate to reach out. We're here to make sure your {{Credit Card}} is ready for your international journey! Safe travels!","1. 'Hi, I am sorry but we do not have any information about this type of service.'

        2. 'I'm afraid that you cannot activate such services at present as they require more advanced technology than what is available today'



    # 4
    def ask_for_name(self):
        name = input('Please enter your first or last name:')
        return name


    ####### 5 
    def add_to_cart(self, item):
        
        if self._is_valid_item(item):
            print(""Item added successfully"")
            
        else: 
            raise ValueError()



        
    ##  6   
    
    @staticmethod
    def _get_random_number(): 
        import random; number=random.randint(0,9);return int(number)"
"Absolutely, I can help you with that! I understand you want to find more information about your recent transactions. Let me assist you with that.

To provide you with the accurate details of your recent transactions, could you please provide me with some additional information? I would need either your {{Order Number}}, {{Email Address}} associated with your account, or any other specific details that can help me locate your transactions.

Once I have the necessary information, I will be able to retrieve the required details regarding your recent transactions. Feel free to provide any other relevant information that you think might be helpful.","1. The user will be prompted for their name (e.g., 'John Doe') 2. If they enter John Doe as input then it should prompt them with ""Please provide your last name"" or something similar3. It is up to the developer if this step needs to happen after the first one4.5. After that the system must ask for additional info such as account number etc6.7. This may take place only once per conversation89.
```python


# In[ ]:




## Step #0 - Prepare data & prepare training dataset
import pandas as pd
from sklearn import preprocessing
from sklearn.model_selection import train_test_split
from keras.preprocessing.text import Tokenizer
from keras.preprocessing.sequence import pad_sequences
from keras.models import Sequential
from keras.layers import Dense, Dropout, LSTM, Embedding
from keras.callbacks import EarlyStopping
from tensorflow"
"I'm here to help you set up a password for your account. To get started, please follow these simple steps:

1. Go to the login page of our website/app.
2. Look for the ""Forgot Password"" or ""Set Up Password"" option.
3. Click on it, and you will be redirected to the password reset page.
4. Enter your registered email address or username associated with your account.
5. Check your email inbox or spam folder for a password reset link.
6. Click on the link provided in the email.
7. You will be directed to a new page where you can create a new password.
8. Choose a strong and unique password that includes a combination of uppercase and lowercase letters, numbers, and special characters.
9. Confirm the new password by entering it again in the designated field.
10. Save the changes.

If you encounter any issues or need further assistance, please feel free to reach out to our customer support team at {{Customer Support Phone Number}} or through our live chat on our website at {{Company Website URL}}. We're available 24/7 to assist you.","100
            'Please enter your username'

    )
    assert response == 200

def test_set_password():
    """"""Test that setting of new passwords is working""""""
    
    with pytest.raises(Exception):
        client = Client()
        
        # Create account, login as admin user 
        session = get_session('admin')  
        client.createAccount(username='Admin', email='<EMAIL>', role=Role.ADMIN)   
            
        # Set password for Admin Account
        auth = {
            ""client"": client, 
            ""user"": {""username"":""Admin"", ""email"":""<EMAIL>"", ""role"" : Role.ADMIN}, 
            ""passwd"": ""<PASSWORD>"" }    
    
        token = createToken(""admin"")        
        resp = client.login(**auth)            
        assert resp['token'] == token
        
    ## TODO: Test if changing old Password works properly?"
"I genuinely apologize for any frustration or inconvenience you may have experienced while trying to reach our customer service team. I understand that you would like to speak with a representative. I'm here to help you with that!

To reach our customer service team, you can call {{Customer Service Phone Number}} during our working hours, which are {{Customer Service Working Hours}}. They will be able to assist you with any concerns or inquiries you may have. If you prefer not to call, we also offer live chat support on our website at {{Company Website URL}}.

Please let me know if there's anything else I can assist you with!","1. 'What is your name?' (in response, you will be asked for their full name.)
        2. ""Hello! I am X-AI."" (You can say this if they don't know who you are yet or want some background information about yourself.)

        
        ##### IMPORTANT NOTE ABOUT THE USER INPUTS HERE ##########
        The user inputs here should always include all of these things that we have defined as part of our `user_input` function above. If any one input isn't included, then the program won't work properly. So make sure everything has been added correctly before moving on.
    */
    
    //MARK:- Main Method - To run when application starts up

    override func viewDidLoad() {
        super.viewDidLoad()
        
    }
    
    
    




    /*
    // MARK: - Navigation

    // In a storyboard-based application, you will often want to do a little preparation before navigation"
"I'm here to help you find your password and assist you in regaining access to your account. Follow these steps:

1. Go to the login page on our website.
2. Click on the ""Forgot Password"" link.
3. Enter the email address associated with your account.
4. Check your email for a password reset link.
5. Click on the link in the email and follow the instructions to set a new password.

If you encounter any difficulties or have any other questions, feel free to let me know. I'm here to ensure a smooth password recovery process for you.","1. 'You can look up your passwords on our website.'

### 2-40 - 356
def ask_for_password():
    """"""Ask user if they want to change their current password.""""""

    prompt = ""Please enter new password:""
    while True:
        try:
            response = input(prompt).lower()

            # If correct answer is given then continue with next step else exit program
            return (response == '<PASSWORD>').all(), None


### Instructions:
# Ask user what type of account he/she wants to create. Then give them options between savings accounts or checking accounts depending upon his choice.
# After that you should show him all available features from those two types of bank accounts such as balance display, transaction history etc.. And also let him choose one feature based on which option was selected before asking about another feature. For example : In case when user chose saving accounts ,then allow him to see transactions made by himself"
"Please accept my apologies for any inconvenience caused by the transfer to the wrong account. I understand that canceling a bank transfer is urgent and important. Let me guide you through the process and help you cancel it:

1. Contact our customer support team immediately at {{Customer Support Phone Number}} or via Live Chat on our website at {{Company Website URL}}. They are available {{Customer Support Working Hours}} to assist you promptly.
2. Provide them with the necessary details, such as your account information, the recipient's account information, and the transfer amount.
3. They will verify your identity and initiate the cancellation process for you.
4. Please note that cancellation requests may be subject to certain conditions or limitations depending on the status of the transfer.

Rest assured, our team will do their best to resolve this issue as quickly as possible. If you have any other questions or concerns, please feel free to let me know.","1. The first line of response should be ""Hi there"" followed by your name (if you know it). If not then say something like 'Hello' or just start talking about yourself if no one else is around but this will probably get interrupted with some sort of error message anyway so don't worry too much here...

      2. Say that they cancels their transaction on your behalf using 3-4 words which might include such things as 'cancel my current balance'.
      3. Explain what happens when someone tries to make a change without permission from the owner/owner(s), e.g., 'The system has decided that you cannot withdraw any more funds.'

      Note: This question requires very good English skills!
      • May 7 at 09:56 PM


        `Can we please ask for clarification?`
          Yes, Please tell me again how do i use ?
            Correct answer
              Thanks @johnny_cabbage !

            Answer Score"
"I'm here to assist you with activating your card for international usage while you're traveling abroad. Activating your card is essential to ensure hassle-free transactions during your trip. Here's what you need to do:

1. Contact our customer support team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}}.
2. Inform them that you'll be traveling abroad and need to activate your card for international usage.
3. Provide them with the necessary information like your card number and personal details to verify your identity.
4. Once your request is processed, you'll receive a confirmation message or email indicating that your card is now active for international use.

Remember, activating your card in advance will help prevent any inconvenience or issues while making purchases or withdrawing cash overseas. If you have any further questions or need assistance, feel free to reach out to us. Have a fantastic trip!","1 - 'You have no such cards'

class Card_Response(object):
    def __init__(self, response=None):
        self._response = response

    @property
    def response(self):
        return self._response


def getCardInfo():
    # This function is used as part of your training script (e.g., when you run it from within `python3 train.py`)
    """"""This method returns information about one or more credit/debit / ATM Cards""""""
    
    try:
        
        import requests
    
        r = requests.get('https://api.bankofamerica.com/v2/cards?limit=5')
        data = json.loads(r.text)
            
        if len(data['results']) == 0 :
            print(""No results found"")
            exit()
                
        else:
            
            listOfCards = []

            for i in range(len(data[""results""])):
                dicto = {}"
"I'm here to assist you in setting up a password for your account. To get started, follow these steps:

1. Visit our website at {{Company Website URL}}.
2. Look for the ""Sign In"" or ""Login"" button at the top right corner of the page and click on it.
3. On the login page, you should see an option like ""Forgot Password"" or ""Reset Password"". Click on it.
4. You will be redirected to a page where you can enter your email address associated with your account.
5. Once you enter your email address, check your inbox for an email from us. Be sure to also check your spam or junk folder, just in case.
6. Open the email and click on the link provided to reset your password.
7. You'll be taken to a page where you can enter and confirm your new password.
8. Make sure your new password meets the criteria specified, such as minimum length and inclusion of uppercase and lowercase letters, numbers, or special characters.
9. Save your changes, and you're all set with your new password!

If you have any trouble during the process or need further assistance, please don't hesitate to reach out. I'm here to help you.","1- 'Welcome back, I am here for you.' 2 - 'I will help you with your bank account'
    
# %% [markdown]
### #3 Bank Account Management System (BAMS)
#### ## Instructions:
    #### A BANK ACCOUNT MANAGEMENT SYSTEM IS REQUIRED TO SEND MESSAGING IN THE FOLLOWING FORMS AND ALSO RECEIVE ANSWERS FROM THE CUSTOMER WHEN HE/HERE ASKS ABOUT ANYTHING THAT HAS BEEN DONE BY US OR THERE ARE OTHER NEEDLES OF COMMUNICATION WITH OUR CLIENT

    ### Instruction:
      `You`re working as a manager of a small business that has been using our system since last year but have recently upgraded their software so they now need some changes made on top of what we already did when there was no previous training involved. We also want them to be able to send"
"I can help you with that! Canceling an {{Credit Card}} on mobile is definitely possible. Here's what you need to do:

1. Open the {{Bank App}} on your device.
2. Log in to your account using your credentials.
3. Navigate to the ""Manage Cards"" or ""Account Settings"" section.
4. Look for the option to ""Cancel Card"" and select it.
5. Follow the on-screen instructions to complete the cancellation process.

If you encounter any difficulties or have specific questions during the process, feel free to reach out to our customer support team. They are available 24/7 to assist you with any concerns you may have.","1 - 'You can only do that with your credit card'

# 3-20, 4-59 (a), 68-73, 79-84(b)(d),(e)
### Instructions:
    # Write code for this exercise

    #### Question 1
      `How would you describe how these two methods differ?`

      The difference between them is very simple. In method A we use __call__ while in method B we don't need any special function or keyword arguments like **kwargs**. We just pass all parameters as normal variables inside of our class definition.

      



    
    
    ##Question 2
    1 - What does Python call when executing statements at runtime ?

    2 - How many ways can one execute a statement/function using python interpreter ?

  #### Question 3
      1 - Why should I prefer lambda over def ?

  
  #### Question 4
  1 - Is there anything else which could have been"
"I can assist you with that! I understand that you need to dispute a transaction, and I'm here to help you through the process. Here's what you can do:

1. Check your account statement: Take a look at your recent transactions and note down the details of the disputed transaction, such as the date, time, and amount.

2. Contact our customer support: Reach out to our dedicated customer support team via phone or email. They will guide you through the dispute process and provide you with the necessary steps to follow.

3. Provide supporting documentation: Prepare any supporting evidence you have regarding the disputed transaction, such as receipts, screenshots, or any other relevant information. This will help in resolving the dispute more efficiently.

4. Follow the instructions: Listen attentively to the instructions provided by our customer support team. They will guide you on how to proceed with the dispute, which may involve filling out certain forms or providing additional information.

5. Be patient: Resolving disputes can take some time, but rest assured that we will work our best to resolve the issue as quickly as possible. It may involve additional investigations or coordination with the relevant parties.

Remember, we are here to assist you throughout the process. If you have any questions or need further clarification, do not hesitate to reach out.","1. 'You can use your credit card or debit card'
```
The response should be ""You can use your credit card or debit card"" since it is not possible for us to give out our bank account number as this would compromise security of information stored on server (and hence no one else will get access). We cannot provide any other option like cashback etc because we do not want people using that feature which may affect their accounts further. So what does the system recommend here ? It recommends only two options - either take money from another user with same ID/account name /card type & spend some amount then go back again OR withdraw all funds first before spending anything !! This was just a simple example but I think most banks don't allow such features so please refrain doing these things yourself if ever given chance .

    ```
    import requests
    # Requests library helps fetch data from API endpoints 
    url = f'https://www.bankofamerica.com/api/"
"I'm here to assist you with taking out a mortgage. It's an important decision, and I'll do my best to guide you through the process. Let's get started!

To begin, could you please provide me with some basic information? This will help us determine the best options for you. I'll need details such as your desired loan amount, credit score, and the property you're interested in.

Once we have these details, we can explore the different mortgage options available and discuss their terms and conditions. We'll also explain the application process and the documentation required.

Rest assured, I'll be here every step of the way to answer any questions you have and ensure a smooth mortgage application experience. Our goal is to help you make an informed decision and find the right mortgage solution for your needs.

Let's begin by gathering the necessary information. Just let me know when you're ready to proceed!","1. ""Hi there"" or 2. 'Hello'

### Banker_Customer_Response(customer):
    response = banker.bank_response()

    if (response == True):
        return (""Thank you for your order."")
    else : 
        print(""Sorry I am unable to assist at this time"")





# In[ ]:"
"I'm sorry to hear that you want to cancel your account. I'll assist you with that. However, before we proceed, I just want to confirm a few details to ensure account security. Can you please provide me with your {{Account Email Address}} or {{Username}}? Once I have that information, I'll be able to assist you with canceling your account promptly.","10% discount on your next purchase

# In[ ]:"
"I'm here to assist you in finding the right loan for your needs. Taking out a loan is an important financial decision, and I want to make sure you have all the information you need. To get started, could you please provide me with some additional details?

1. What is the purpose of the loan? Is it for a specific purchase or to consolidate debt?
2. How much money do you need to borrow?
3. What is your preferred repayment term?
4. Do you have any specific preferences in terms of interest rates or loan terms?

Once I have this information, I can guide you through the next steps and help you find the best loan options available to you. Remember, I'm here to make the process as seamless as possible, so feel free to ask any questions you may have along the way.","1. `'I will check with my banker first, then I'll call you back.'`

### 2-503 - Business Process Automation (BPA):

       ### Instructions
       **Instructions:**
    
          This is where your code can be used for any business process automation task that needs to happen within your application. The most common tasks include sending emails or SMS messages, making phone calls using automated voice recognition software like Amazon Alexa or Google Assistant, creating reports based on data collected from various sources such as CRM systems, ERP platforms etc., generating invoices automatically through payment processing engines built into popular eCommerce solutions...etc..

     */

    func getCustomerRequest() -> String {
        
        let message = ""Hello! How may we help?""; // Create greeting string
        return ""\(message)""
    }
    
    /*
     7-489 - Data Access Layer:

      ```swift
      struct UserModel{
           var name :String"
"I'm here to help you with that. Checking your current account balance is quick and easy. Here are a few ways you can do it:

1. Online Banking: Log in to your online banking account on our website or mobile app. Once you're logged in, you should see your account balance prominently displayed on your account dashboard.

2. ATM: Visit any of our convenient ATMs and use your debit card to check your account balance. Just follow the prompts on the screen, select the account you want to check, and the ATM will display your current balance.

3. Customer Service: If you prefer to speak with one of our customer service representatives, you can reach them at {{Customer Support Phone Number}}. They will be more than happy to assist you in checking your account balance.

4. Mobile Banking App: Download our mobile banking app from the App Store or Google Play Store. Once installed, open the app, log in to your account, and your current balance should be visible on the main screen.

Remember, your account balance may change throughout the day due to transactions, so make sure to check it during normal banking hours for the most up-to-date information.

If you have any further questions or need assistance with anything else, feel free to ask. I'm here to help!","10 - 'Sorry I can not give any information about your account.'

### 3.2 Bank Account Information (BANC_ACCOUNT):
    ### Instructions:

    ### Question:
    15- What is your name ?

    7- How old do you think that you are ?

    8- Do you have children or other family members who live with you ?

    9- Are they living at home now or moved out recently ?

      14- Is there anyone else currently residing here besides yourself ?

    6- Have you ever been arrested for something before ?

     5- Has someone from outside come into our house lately ?
     4- Can we trust them since they came over so suddenly ?
           3- Does this person look familiar ?

           2- Did he/she use some kind of weapon on us when we were inside the building ?
             1- Was it used against another human being as well ?

               0- If yes then how many times did she"
"I've picked up that you're in need of assistance with retrieving a credit card that was swallowed by an ATM. I'm here to help you with that. While I apologize for the inconvenience, let's get you back on track. Here are the steps you can follow:

1. Contact your bank's customer service immediately and provide them with the details of the situation, including the ATM location, time, and the type of card swallowed.
2. Your bank will guide you through the process of retrieving your credit card. They may ask you to visit a branch or provide you with a temporary replacement card while they investigate the incident.
3. Make sure to keep any reference numbers or case IDs provided by the bank for future reference.
4. If you have any urgent transactions or payments to make, your bank can guide you on alternative methods or arrange for any necessary accommodations.

Remember, it's essential to act promptly and communicate with your bank to resolve this issue efficiently. If you need any further assistance or have any questions, feel free to ask.","1- The bank has no ATMs available for me, please try again later or call 0875624394
        
        # Use this line if you want your response not displayed on screen
#     elif (c['request'].startswith('I')):
#         return 'Sorry we don\'t offer that service'
    





if __name__ == '__main__':
    main()"
"I'm here to help you activate your Master Card on your mobile device. The process is quite simple. Follow these steps:

1. Download and open the {{Banking App}} on your mobile device.
2. Log in to your account using your registered credentials.
3. Navigate to the ""Cards"" section within the app.
4. Look for the option to activate a new card or manage your existing cards.
5. Select the option to activate a new card.
6. Enter the required details, such as your card number, expiration date, and CVV.
7. Follow any additional prompts or security measures prompted by the app.
8. Once you've provided all the necessary information, your Master Card should be successfully activated on your mobile device.

If you encounter any difficulties during the process, don't hesitate to reach out to our dedicated customer support team at {{Customer Support Phone Number}}. They're available {{Customer Support Working Hours}} to assist you further.

Don't hesitate to ask if you have any more questions. I'm happy to assist you!","1. ""I don't know where you mean by 'activate'.""
    
# In[2]:


def response_to_customer(response):
    """"""Return appropriate responses for customers""""""

    if not isinstance(response, str):
        raise TypeError(""Response must be string"")
    
    # If it is already activated...
    elif bool(response == True):
        
        return (""You have your card."")
        
    else :
    
        print('The user has requested that we enable their credit/debit cards.')

    
# In[3]:



### Question 5 - A question about what happens when someone clicks on one of our links!
### Instructions:
### Ask them which link they clicked (i.e., http://www.example.com).
### Then ask them whether or not this website was created using JavaScript code written with jQuery.
### Finally, tell them how many times each button got pressed while trying to click through these pages.
###"
"We're accountable for, and we apologize for any inconvenience caused by the language used. I understand that you would like assistance in creating an online account. Opening an account is a simple process. Here's a step-by-step guide to help you get started:

1. Go to our website at {{Company Website URL}}.
2. Look for the ""Sign Up"" or ""Register"" button.
3. Click on it to begin the account creation process.
4. Fill in the required information such as your {{Name}}, {{Email Address}}, and {{Password}}.
5. Make sure to follow any instructions regarding password complexity or additional verification steps.
6. Once you've completed the form, review the terms and conditions, and privacy policy, if applicable.
7. Click on the ""Create Account"" or ""Sign Up"" button to submit your information.
8. You may receive a confirmation email or SMS with a verification link or code. Follow the provided instructions to verify your account.
9. After verification, you should be able to log in using your newly created credentials.

If you encounter any issues during the account creation process, feel free to reach out to our customer support at {{Customer Support Phone Number}} or via the Live Chat feature on our website. We'll be more than happy to assist you further.","1- 'I am sorry, but we cannot help you at this time.'

class Banking_Assistant(Base):
    """"""Banker Assistant class""""""

    def __init__(self, db):
        self._db = db  # Database object


    @property
    def bank_account(self):
        return self._db['accounts']

    @bank_account.setter
    def bank_account(self, value):
        try:
            if isinstance(value, dict):
                for key, val in value.items():
                    setattr(self, key, val)

            else:
                raise ValueError('Invalid Bank Account')
        except KeyError as e:
            print(""Error : "", str(e))"
"I've grasped that you don't recognize a transaction and you're unsure of what to do. Don't worry, I'm here to help you with that. Here's what you can do:

1. Review your recent transactions: Take a look at your transaction history either through your online banking portal or your bank's mobile app. Look for any unfamiliar or suspicious transactions.

2. Double-check with others: If it's a joint account, make sure to consult with the other account holders to confirm if they recognize the transaction.

3. Contact your bank: If you still can't identify the transaction or if it appears to be fraudulent, it's important to notify your bank as soon as possible. They will guide you through the dispute process and help protect your account.

4. Provide necessary information: When contacting your bank, be prepared to provide details such as the date, amount, and description of the unrecognized transaction. This will assist them in investigating the issue efficiently.

Remember, it's crucial to act promptly when you come across unrecognized transactions. Your bank's customer service team is available to assist you further and ensure the security of your account.","1- 'Sorry, we do not have that type of transactions' 2 - ""I will try""
```


### Task #3 (50 points):
Write code for `get_customer` function which returns all customers from database with their information including ID number as well as name, address etc.. If there is no such record return None value instead of empty string or nothing at all.



## Part B: Data Analysis & Business Intelligence

#### Question #1(40 Points)
Create a data analysis report showing your results using pandas library on following questions below:

    * How many total records were found?
    * What was the average age of each person who joined our bank account after joining?
    * Which country has more people having accounts opened by them?
    * In how much time did it take us to open up new accounts when you wanted one right away without waiting until they filled out forms online first ?
    * Are there any patterns regarding"
"I'm really sorry to hear that your credit card was stolen, but don't worry, I'm here to assist you in blocking it. Your safety and security are of utmost importance to us. Here's what you can do to block your stolen credit card:

1. Call our emergency helpline immediately at {{Emergency Helpline Number}} to report the stolen card. Our customer service representatives are available 24/7 to assist you.
2. Provide them with your credit card details, such as the card number, expiry date, and any other requested information, to help expedite the process.
3. They will guide you through the necessary steps to block your stolen card and initiate any further actions required to protect your account from unauthorized transactions.
4. If you have any additional questions or concerns, please don't hesitate to ask. We're here to support you throughout this process.

Please note that it is crucial to report the stolen card as soon as possible to mitigate any potential risks or fraudulent activities. Stay vigilant, and we'll do our best to assist you promptly.","1 - 'I'm sorry but my bank has not received any information about your account being blocked.'

### 2-3 (or more?) instructions for each of these tasks will be added later as time allows!"
